page,encoding,src,asset,exists,width,height,format,centered_p_im,review_priority
appendix/appendix_2.html,cp932,./../img/appendix_sphere.files/image001.png,img/appendix_sphere.files/image001.png,True,616,345,PNG,True,A
appendix/appendix_3_1.html,cp932,./../img/appendix_cord_r.files/image001.png,img/appendix_cord_r.files/image001.png,True,238,406,PNG,True,A
appendix/appendix_3_1.html,cp932,./../img/appendix_cord_r.files/image002.png,img/appendix_cord_r.files/image002.png,True,391,406,PNG,True,A
appendix/appendix_3_1.html,cp932,./../img/appendix_cord_r.files/image004.png,img/appendix_cord_r.files/image004.png,True,493,387,PNG,True,A
appendix/appendix_3_1.html,cp932,./../img/appendix_cord_r.files/image004.png,img/appendix_cord_r.files/image004.png,True,493,387,PNG,True,A
appendix/appendix_3_2.html,cp932,./../img/appendix_cord_s.files/image001.png,img/appendix_cord_s.files/image001.png,True,372,364,PNG,True,A
appendix/appendix_3_2.html,cp932,./../img/appendix_cord_s.files/image002.png,img/appendix_cord_s.files/image002.png,True,346,347,PNG,True,A
appendix/appendix_3_2.html,cp932,./../img/appendix_cord_s.files/image004.png,img/appendix_cord_s.files/image004.png,True,369,355,PNG,True,A
appendix/appendix_3_2.html,cp932,./../img/appendix_cord_s.files/image004.png,img/appendix_cord_s.files/image004.png,True,369,355,PNG,True,A
column/column_2.html,cp932,./../img/column_energy.files/image001.png,img/column_energy.files/image001.png,True,33,38,PNG,True,A
column/column_2.html,cp932,./../img/column_energy.files/image002.png,img/column_energy.files/image002.png,True,174,134,PNG,True,A
column/column_2.html,cp932,./../img/column_energy.files/image003.png,img/column_energy.files/image003.png,True,147,30,PNG,True,A
column/column_2.html,cp932,./../img/column_energy.files/image004.png,img/column_energy.files/image004.png,True,139,128,PNG,True,A
column/column_2.html,cp932,./../img/column_energy.files/image005.png,img/column_energy.files/image005.png,True,179,108,PNG,True,A
counting/counting_1.html,cp932,./../img/counting.files/image001.png,img/counting.files/image001.png,True,237,696,PNG,True,A
counting/counting_2.html,cp932,./../img/counting.files/image002.png,img/counting.files/image002.png,True,233,685,PNG,True,A
fem/fem.html,cp932,./../img/fem.files/image001.png,img/fem.files/image001.png,True,377,242,PNG,True,A
fem/fem_1.html,cp932,./../img/fem_node.files/image001.png,img/fem_node.files/image001.png,True,119,122,PNG,True,A
fem/fem_1.html,cp932,./../img/fem_node.files/image002.png,img/fem_node.files/image002.png,True,123,122,PNG,True,A
fem/fem_1.html,cp932,./../img/fem_node.files/image003.png,img/fem_node.files/image003.png,True,122,132,PNG,True,A
fem/fem_1.html,cp932,./../img/fem_node.files/image004.png,img/fem_node.files/image004.png,True,132,132,PNG,True,A
fem/fem_1.html,cp932,./../img/fem_node.files/image005.png,img/fem_node.files/image005.png,True,124,177,PNG,True,A
fem/fem_1.html,cp932,./../img/fem_node.files/image006.png,img/fem_node.files/image006.png,True,153,147,PNG,True,A
fem/fem_10.html,cp932,./../img/fem_d_matrix.files/image005.png,img/fem_d_matrix.files/image005.png,True,171,252,PNG,True,A
